Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,Country,Season
1,Brenden Aaronson,USA,"MF,FW",Leeds United,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,England Premier League,2022-2023
2,George Abbott,ENG,MF,Tottenham,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
3,Che Adams,SCO,FW,Southampton,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,England Premier League,2022-2023
4,Tyler Adams,USA,MF,Leeds United,23,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,England Premier League,2022-2023
5,Tosin Adarabioyo,ENG,DF,Fulham,24,1997,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.7,England Premier League,2022-2023
6,Nayef Aguerd,MAR,DF,West Ham,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,England Premier League,2022-2023
7,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,England Premier League,2022-2023
8,Rayan Ait-Nouri,ALG,DF,Wolves,21,2001,21,9,1076,12.0,1,0,1,1,0,0,4,0,0.7,England Premier League,2022-2023
9,Kristoffer Ajer,NOR,DF,Brentford,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
10,Manuel Akanji,SUI,DF,Manchester City,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,England Premier League,2022-2023
11,Nathan Ake,NED,DF,Manchester City,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,England Premier League,2022-2023
12,Marc Albrighton,ENG,"FW,MF",Leicester City,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,England Premier League,2022-2023
13,Thiago Alcantara,ESP,MF,Liverpool,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,England Premier League,2022-2023
14,Carlos Alcaraz,ARG,"MF,FW",Southampton,19,2002,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,England Premier League,2022-2023
15,Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,England Premier League,2022-2023
16,Alisson,BRA,GK,Liverpool,29,1992,37,37,3330,37.0,0,1,1,0,0,0,1,0,0.0,England Premier League,2022-2023
17,Dele Alli,ENG,MF,Everton,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
18,Miguel Almiron,PAR,FW,Newcastle Utd,28,1994,34,29,2491,27.7,11,2,13,11,0,0,2,0,8.0,England Premier League,2022-2023
